season,team,points,rank
2010,Red Bull,498,1
2010,McLaren,454,2
2010,Ferrari,396,3
2010,Mercedes,214,4
2010,Renault,163,5
2010,Williams,69,6
2010,Force India,68,7
2010,BMW Sauber,44,8
2010,Toro Rosso,13,9
2010,Lotus,0,10
2010,HRT,0,11
2010,Virgin,0,12
2011,Red Bull,650,1
2011,McLaren,497,2
2011,Ferrari,375,3
2011,Mercedes,165,4
2011,Renault,73,5
2011,Force India,69,6
2011,Sauber,44,7
2011,Toro Rosso,41,8
2011,Williams,5,9
2011,Lotus,0,10
2011,HRT,0,11
2011,Virgin,0,12
2012,Red Bull,460,1
2012,Ferrari,400,2
2012,McLaren,378,3
2012,Lotus,303,4
2012,Mercedes,142,5
2012,Sauber,126,6
2012,Force India,109,7
2012,Williams,76,8
2012,Toro Rosso,26,9
2012,Caterham,0,10
2012,Marussia,0,11
2012,HRT,0,12
2013,Red Bull,596,1
2013,Mercedes,360,2
2013,Ferrari,354,3
2013,Lotus,315,4
2013,McLaren,122,5
2013,Force India,77,6
2013,Sauber,57,7
2013,Toro Rosso,33,8
2013,Williams,5,9
2013,Marussia,0,10
2013,Caterham,0,11
2014,Mercedes,701,1
2014,Red Bull,405,2
2014,Williams,320,3
2014,Ferrari,216,4
2014,McLaren,181,5
2014,Force India,155,6
2014,Toro Rosso,30,7
2014,Lotus,10,8
2014,Marussia,2,9
2014,Sauber,0,10
2014,Caterham,0,11
2015,Mercedes,703,1
2015,Ferrari,428,2
2015,Williams,257,3
2015,Red Bull,187,4
2015,Force India,136,5
2015,Lotus,78,6
2015,Toro Rosso,67,7
2015,Sauber,36,8
2015,McLaren,27,9
2015,Marussia,0,10
2016,Mercedes,765,1
2016,Red Bull,468,2
2016,Ferrari,398,3
2016,Force India,173,4
2016,Williams,138,5
2016,McLaren,76,6
2016,Toro Rosso,63,7
2016,Haas,29,8
2016,Renault,8,9
2016,Sauber,2,10
2016,MRT,1,11
2017,Mercedes,668,1
2017,Ferrari,522,2
2017,Red Bull,368,3
2017,Force India,187,4
2017,Williams,83,5
2017,Renault,57,6
2017,Toro Rosso,53,7
2017,Haas,47,8
2017,McLaren,30,9
2017,Sauber,5,10
2018,Mercedes,655,1
2018,Ferrari,571,2
2018,Red Bull,419,3
2018,Renault,122,4
2018,Haas,93,5
2018,McLaren,62,6
2018,Force India,111,7
2018,Sauber,48,8
2018,Toro Rosso,33,9
2018,Williams,7,10
2019,Mercedes,739,1
2019,Ferrari,504,2
2019,Red Bull,417,3
2019,McLaren,145,4
2019,Renault,91,5
2019,Toro Rosso,85,6
2019,Racing Point,73,7
2019,Alfa Romeo,57,8
2019,Haas,28,9
2019,Williams,1,10
2020,Mercedes,573,1
2020,Red Bull,319,2
2020,McLaren,202,3
2020,Racing Point,195,4
2020,Renault,181,5
2020,Ferrari,131,6
2020,AlphaTauri,107,7
2020,Alfa Romeo,8,8
2020,Haas,3,9
2020,Williams,0,10
2021,Mercedes,613.5,1
2021,Red Bull,585.5,2
2021,Ferrari,323.5,3
2021,McLaren,275,4
2021,Alpine,155,5
2021,AlphaTauri,142,6
2021,Aston Martin,77,7
2021,Williams,23,8
2021,Alfa Romeo,13,9
2021,Haas,0,10
2022,Red Bull,759,1
2022,Ferrari,554,2
2022,Mercedes,515,3
2022,Alpine,173,4
2022,McLaren,159,5
2022,Alfa Romeo,55,6
2022,Aston Martin,55,7
2022,Haas,37,8
2022,AlphaTauri,35,9
2022,Williams,8,10
